  Comments,Ankon,Rizvi,Sourov,FinalTag
"বিশ্ববিদ্যালয়ে শিক্ষক রাজনীতি, ছাত্র রাজনীতি চিরতরে নিষিদ্ধ না করলে শিক্ষার মান যেটুকু আছে তাও হারিয়ে যাবে।",Sadness,Sadness,Sadness,Sadness
পাকিস্তান যেই তালিকায় থাকে ওই তালিকা আমরা এমনেই প্রত্যাখ্যান করি,Anger,Anger,Anger,Anger
"সিংগাপুরের সাথে ভারত, পাকিস্তানের তুলনা কেন? আর আমাদের যে পদ্মা সেতু আছে সেটা কি ওরা জানেনা! তীব্র পোদেবাদ জানিয়ে গেলাম।",Sarcasm,Sarcasm,Sarcasm,Sarcasm
আমাদের দেশের শিক্ষা প্রতিষ্ঠানগুলোতে পড়ালেখার চাইতে রাজনীতি শিখতে ব্যস্ত থাকতে হয়। তাই ভালো মানের শিক্ষাঙ্গন নেই।,Sadness,Sadness,Sadness,Sadness
আমাদের দেশের শিক্ষা প্রতিষ্ঠান রাজনীতিতে প্রথম হবে এটা নিশ্চিত করে বলা যায়।!!!,Disgust,Disgust,Disgust,Disgust
দুঃখজনক হলেও সত্য যে আমাদের দেশের বিশ্ববিদ্যালয় গুলোতে শিক্ষক থেকে ছাত্র সবাই শিক্ষা চর্চার চেয়ে রাজনৈতিক চর্চা বেশি করে ।।,Sadness,Sadness,Sadness,Sadness
আমারা এই দুই দেশ থেকে নিরাপদ দূরত্বে থাকতেই পছন্দ করি,Happiness,Sarcasm,Sarcasm,Sarcasm
বিশ্ববিদ্যালয়ের তালিকায় বাংলাদেশের বিশ্ববিদ্যালয় আছে!!!!!!,Surprise,Surprise,Surprise,Surprise
"আমাদের তুলনা হবে কানাডা , আমেরিকার সাথে ! ভারত , পাকিস্তানের সাথে না !",Sarcasm,Sarcasm,Sarcasm,Sarcasm
আগে পেটে ভাত তারপরে রিসার্চ। বাংলাদেশের মানুষের পেটে ভাত দিতেই কষ্ট আবার রিসার্চ ,Disgust,Disgust,Disgust,Disgust
"বিশ্বসেরা বিশ্ববিদ্যালয়গুলোতে ছাত্ররা পড়ালেখার পর অবসর সময়ে রাজনীতিতে সময় দেয়, আর আমাদের বিশ্ববিদ্যালয়ে রাজনীতি করার পরে পড়াশোনাতে সময় দিতে হয়।",Sadness,Sadness,Sadness,Sadness
কেন থাকবে ..? থাকার মত কিছু আছে .? বাংলাদেশের ইউনিভার্সিটি গুলোতে তো কোন পড়ালেখা হয় না হয় শুধু রাজনীতি ।,Anger,Anger,Anger,Anger
"শিক্ষাই আলো,,অনেক দিন ধরে জ্বলছে তো, তেল ফুরিয়ে গেছে।",Sadness,Sadness,Sadness,Sadness
এটা ষড়যন্ত্র ছাড়া আর কিছুই নয়.!! আমাদের বিশ্ববিদ্যালয় গুলোতে শিক্ষার্থীদের হাতে অস্ত্র থাকার পরেও তালিকায় না আসায় এই তালিকা প্রত্যাখ্যান করলাম..!!,Anger,Anger,Anger,Anger
